smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
Nc1nc2c(nc[nH]c2=O)n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	ZINC000049124896	OBCXRIVPFSZZSN-UUOKFMHZSA-N	283.244	-2.687	0	50	CAAA	
CS(=O)(=O)N1CCN(c2ccc3nnnn3n2)CC1	ZINC000049320762	HMXPDVHLXABSER-UHFFFAOYSA-N	283.317	-1.399	0	50	CAAA	
CS(=O)(=O)N1CCN(C(=O)c2cn[nH]n2)CC1	ZINC000049346859	XJBWONGVBNXAPG-UHFFFAOYSA-N	259.291	-1.478	0	50	CAAA	
COc1ncccc1NC(=O)C(=O)NCCNCCO	ZINC000049550083	FTAQPSUEKHJGSM-UHFFFAOYSA-N	282.300	-1.273	0	50	CAAA	
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1N	ZINC000053204366	CQKMBZHLOYVGHW-QYYRPYCUSA-N	266.261	-2.014	0	50	CAAA	in-vivo
COCCN1CNc2c(c(=O)n(C)c(=O)n2C)C1	ZINC000055227771	DAWRSBSRETXTPS-UHFFFAOYSA-N	254.290	-1.085	0	50	CAAA	
NC(=O)NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O	ZINC000055364338	RNOHOHHBGLHDBO-LURJTMIESA-N	255.234	-1.810	0	50	CAAA	
O=P(O)(O)OC[C@H]1O[C@](O)(CO)[C@H](O)[C@@H]1O	ZINC000056874962	BGWGXPAPYGQALX-KVTDHHQDSA-N	260.135	-3.103	0	50	CAAA	in-vitro
CCOCC(=O)NCCN1CCN(S(C)(=O)=O)CC1	ZINC000056907132	DJZATPMWKYFXMH-UHFFFAOYSA-N	293.389	-1.284	0	50	CAAA	
CCCS(=O)(=O)CC(=O)N1CCN(CC(N)=O)CC1	ZINC000056968296	ASDLWJMCDLZVCL-UHFFFAOYSA-N	291.373	-1.559	0	50	CAAA	
Cn1c2c(c(=O)n(C)c1=O)=[N+]([O-])C1(CCCCC1)N=2	ZINC000057218102	OCLBXSLANCGXPP-UHFFFAOYSA-N	264.285	-1.634	0	50	CAAA	
Cn1c(=O)c2c(n(C)c1=O)N[C@@H](C(=O)O)CC2=O	ZINC000057477971	XCRBHEHKNWAYNW-SCSAIBSYSA-N	253.214	-1.465	0	50	CAAA	
Cn1c(=O)c2c(n(C)c1=O)N[C@H](C(=O)O)CC2=O	ZINC000057477973	XCRBHEHKNWAYNW-BYPYZUCNSA-N	253.214	-1.465	0	50	CAAA	
O=c1[nH]c(=O)n([C@@H]2C[C@@H](O)[C@@H](CO)O2)cc1CO	ZINC000058634785	IPAVKOYJGUMINP-PRJMDXOYSA-N	258.230	-2.330	0	50	CAAA	
OC[C@@H]1O[C@H](Nc2ccccn2)[C@H](O)[C@@H](O)[C@@H]1O	ZINC000058984246	HWCQCFUPVMSAPA-QXFVGKKJSA-N	256.258	-1.707	0	50	CAAA	biogenic,in-vitro
[N-]=[N+]=N[C@]1(CO)O[C@@H]2[C@@H](Oc3nc(=O)ccn32)[C@@H]1O	ZINC000059026194	HXIRTOCBJXONPW-XZMZPDFPSA-N	267.201	-1.107	0	50	CAAA	
O=C(O)CCn1cc(CN2CCOCC2)c(=O)[nH]c1=O	ZINC000061957884	RPZLAGMJSAKBJZ-UHFFFAOYSA-N	283.284	-1.157	0	50	CAAA	
OC[C@@H]1O[C@@H](N2CCc3ccccc32)[C@H](O)[C@H](O)[C@@H]1O	ZINC000063772491	LDRVOIOWMVOAJP-RYMFRWLXSA-N	281.308	-1.151	0	50	CAAA	
OC[C@@H]1O[C@@H](N2CCc3ccccc32)[C@@H](O)[C@H](O)[C@@H]1O	ZINC000063772493	LDRVOIOWMVOAJP-MQLXINIDSA-N	281.308	-1.151	0	50	CAAA	
Cn1c2nc3n(c2c(=O)[nH]c1=O)CCCCN3N	ZINC000065098335	YGKODLMJBYDTCL-UHFFFAOYSA-N	250.262	-1.103	0	50	CAAA	
C[C@@H]1Cn2c3c(nc2N(N)C1)n(C)c(=O)[nH]c3=O	ZINC000065098337	NOAWGOYWKJYCHU-RXMQYKEDSA-N	250.262	-1.247	0	50	CAAA	
C[C@H]1Cn2c3c(nc2N(N)C1)n(C)c(=O)[nH]c3=O	ZINC000065098339	NOAWGOYWKJYCHU-YFKPBYRVSA-N	250.262	-1.247	0	50	CAAA	
CN1CCN2CCN(C(=O)c3cnon3)C[C@@H]2C1=O	ZINC000065370743	FOAAHGBSPLEGBJ-SECBINFHSA-N	265.273	-1.332	0	50	CAAA	
CN1CCN2CCN(C(=O)c3cnon3)C[C@H]2C1=O	ZINC000065370744	FOAAHGBSPLEGBJ-VIFPVBQESA-N	265.273	-1.332	0	50	CAAA	
COC(=O)[C@@H]1C[C@H](NC(=O)c2c[nH]c(=O)cn2)CN1C	ZINC000065371765	KHKDRIYCPJFLGM-CBAPKCEASA-N	280.284	-1.255	0	50	CAAA	
CCS(=O)(=O)CCNC(=O)[C@@]12CNC[C@@H]1CN(C)C2	ZINC000065372283	OKILATDIWZBMNJ-ZYHUDNBSSA-N	289.401	-1.312	0	50	CAAA	
COC(=O)CCC(=O)N1CCN2CCNC(=O)[C@@H]2C1	ZINC000065380388	LUAHQZLXOAACPB-VIFPVBQESA-N	269.301	-1.418	0	50	CAAA	
COC(=O)CCC(=O)N1CCN2CCNC(=O)[C@H]2C1	ZINC000065380390	LUAHQZLXOAACPB-SECBINFHSA-N	269.301	-1.418	0	50	CAAA	
Cn1cccc1C(=O)C(=O)N1CCN2CCNC(=O)[C@@H]2C1	ZINC000065381469	ZMRAFXHPOBSOPV-NSHDSACASA-N	290.323	-1.150	0	50	CAAA	
Cn1cccc1C(=O)C(=O)N1CCN2CCNC(=O)[C@H]2C1	ZINC000065381470	ZMRAFXHPOBSOPV-LLVKDONJSA-N	290.323	-1.150	0	50	CAAA	
